#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-06T14:03:41 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-06T14:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=50&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/tables&-order=I&-out=Mini&-out=track&track=track&-out=Rot&-out=Time&-out=Mass&-out=logL&-out=logTe&-out=X&-out=Y&-out=C12&-out=C13&-out=N14&-out=O16&-out=O17&-out=O18&-out=Ne20&-out=Ne22&-out=Al26&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Time	(E12.5)	Age	[ucd=time.age]
#Column	Mass	(F7.3)	Actual mass	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	X	(F6.4)	H surface abundance (mass fraction)	[ucd=phys.abund.Fe]
#Column	Y	(F6.4)	He surface abundance (mass fraction)	[ucd=phys.abund.Y]
#Column	C12	(E9.2)	12C surface abundance (mass fraction)	[ucd=meta.note]
#Column	C13	(E9.2)	13C surface abundance (mass fraction)	[ucd=meta.note]
#Column	N14	(E9.2)	14N surface abundance (mass fraction)	[ucd=meta.note]
#Column	O16	(E9.2)	16O surface abundance (mass fraction)	[ucd=meta.note]
#Column	O17	(E9.2)	17O surface abundance (mass fraction)	[ucd=meta.note]
#Column	O18	(E9.2)	18O surface abundance (mass fraction)	[ucd=meta.note]
#Column	Ne20	(E9.2)	20Ne surface abundance (mass fraction)	[ucd=meta.note]
#Column	Ne22	(E9.2)	22Ne surface abundance (mass fraction)	[ucd=meta.note]
#Column	Al26	(E9.2)	26Al surface abundance (mass fraction)	[ucd=phys.abund]
Mini;track;Rot;Time;Mass;logL;logTe;X;Y;C12;C13;N14;O16;O17;O18;Ne20;Ne22;Al26
  0.80;track;n; 3.20075e+09;  0.800; -0.561;3.689;0.7328;0.2535; 2.20e-03; 2.66e-05; 6.36e-04; 5.53e-03; 2.19e-06; 1.24e-05; 1.82e-03; 1.47e-04; 0.00e+00
  0.80;track;n; 3.42510e+09;  0.800; -0.558;3.689;0.7337;0.2527; 2.19e-03; 2.65e-05; 6.35e-04; 5.52e-03; 2.18e-06; 1.24e-05; 1.82e-03; 1.46e-04; 0.00e+00
  0.80;track;n; 3.66441e+09;  0.800; -0.556;3.689;0.7346;0.2518; 2.19e-03; 2.64e-05; 6.33e-04; 5.50e-03; 2.17e-06; 1.23e-05; 1.81e-03; 1.46e-04; 0.00e+00
  0.80;track;n; 3.88876e+09;  0.800; -0.553;3.690;0.7355;0.2509; 2.18e-03; 2.64e-05; 6.31e-04; 5.49e-03; 2.17e-06; 1.23e-05; 1.81e-03; 1.46e-04; 0.00e+00
  0.80;track;n; 4.11311e+09;  0.800; -0.550;3.690;0.7364;0.2500; 2.18e-03; 2.63e-05; 6.30e-04; 5.48e-03; 2.16e-06; 1.23e-05; 1.80e-03; 1.45e-04; 0.00e+00
  0.80;track;n; 4.33747e+09;  0.800; -0.548;3.690;0.7373;0.2492; 2.17e-03; 2.62e-05; 6.28e-04; 5.46e-03; 2.16e-06; 1.22e-05; 1.80e-03; 1.45e-04; 0.00e+00
  0.80;track;n; 4.56182e+09;  0.800; -0.545;3.690;0.7382;0.2483; 2.17e-03; 2.61e-05; 6.27e-04; 5.45e-03; 2.15e-06; 1.22e-05; 1.80e-03; 1.44e-04; 0.00e+00
  0.80;track;n; 4.78617e+09;  0.800; -0.542;3.691;0.7390;0.2475; 2.16e-03; 2.61e-05; 6.25e-04; 5.44e-03; 2.15e-06; 1.22e-05; 1.79e-03; 1.44e-04; 0.00e+00
  0.80;track;n; 5.01052e+09;  0.800; -0.539;3.691;0.7399;0.2467; 2.15e-03; 2.60e-05; 6.24e-04; 5.43e-03; 2.14e-06; 1.21e-05; 1.79e-03; 1.44e-04; 0.00e+00
  0.80;track;n; 5.23487e+09;  0.800; -0.536;3.691;0.7407;0.2458; 2.15e-03; 2.59e-05; 6.22e-04; 5.41e-03; 2.14e-06; 1.21e-05; 1.78e-03; 1.43e-04; 0.00e+00
  0.80;track;n; 5.45922e+09;  0.800; -0.533;3.692;0.7416;0.2450; 2.14e-03; 2.58e-05; 6.20e-04; 5.40e-03; 2.13e-06; 1.21e-05; 1.78e-03; 1.43e-04; 0.00e+00
  0.80;track;n; 5.68358e+09;  0.800; -0.530;3.692;0.7425;0.2441; 2.14e-03; 2.58e-05; 6.19e-04; 5.39e-03; 2.12e-06; 1.20e-05; 1.78e-03; 1.43e-04; 0.00e+00
  0.80;track;n; 5.90793e+09;  0.800; -0.527;3.692;0.7433;0.2433; 2.13e-03; 2.57e-05; 6.17e-04; 5.37e-03; 2.12e-06; 1.20e-05; 1.77e-03; 1.42e-04; 0.00e+00
  0.80;track;n; 6.13228e+09;  0.800; -0.524;3.692;0.7442;0.2425; 2.13e-03; 2.56e-05; 6.16e-04; 5.36e-03; 2.11e-06; 1.20e-05; 1.77e-03; 1.42e-04; 0.00e+00
  0.80;track;n; 6.35663e+09;  0.800; -0.521;3.693;0.7450;0.2417; 2.12e-03; 2.55e-05; 6.14e-04; 5.35e-03; 2.11e-06; 1.19e-05; 1.76e-03; 1.42e-04; 0.00e+00
  0.80;track;n; 6.58098e+09;  0.800; -0.518;3.693;0.7459;0.2409; 2.12e-03; 2.55e-05; 6.13e-04; 5.34e-03; 2.10e-06; 1.19e-05; 1.76e-03; 1.41e-04; 0.00e+00
  0.80;track;n; 6.80533e+09;  0.800; -0.515;3.693;0.7467;0.2401; 2.11e-03; 2.54e-05; 6.11e-04; 5.32e-03; 2.10e-06; 1.19e-05; 1.76e-03; 1.41e-04; 0.00e+00
  0.80;track;n; 7.02969e+09;  0.800; -0.512;3.694;0.7475;0.2393; 2.10e-03; 2.53e-05; 6.10e-04; 5.31e-03; 2.09e-06; 1.18e-05; 1.75e-03; 1.41e-04; 0.00e+00
  0.80;track;n; 7.25404e+09;  0.800; -0.508;3.694;0.7484;0.2384; 2.10e-03; 2.52e-05; 6.08e-04; 5.30e-03; 2.09e-06; 1.18e-05; 1.75e-03; 1.40e-04; 0.00e+00
  0.80;track;n; 7.46343e+09;  0.800; -0.505;3.694;0.7491;0.2377; 2.09e-03; 2.52e-05; 6.07e-04; 5.29e-03; 2.08e-06; 1.18e-05; 1.75e-03; 1.40e-04; 0.00e+00
  0.80;track;n; 7.68778e+09;  0.800; -0.502;3.695;0.7500;0.2369; 2.09e-03; 2.51e-05; 6.05e-04; 5.27e-03; 2.08e-06; 1.18e-05; 1.74e-03; 1.40e-04; 0.00e+00
  0.80;track;n; 7.91214e+09;  0.800; -0.499;3.695;0.7508;0.2361; 2.08e-03; 2.50e-05; 6.04e-04; 5.26e-03; 2.07e-06; 1.17e-05; 1.74e-03; 1.39e-04; 0.00e+00
  0.80;track;n; 8.13649e+09;  0.800; -0.495;3.695;0.7516;0.2353; 2.08e-03; 2.50e-05; 6.02e-04; 5.25e-03; 2.07e-06; 1.17e-05; 1.73e-03; 1.39e-04; 0.00e+00
  0.80;track;n; 8.36084e+09;  0.800; -0.492;3.696;0.7524;0.2345; 2.07e-03; 2.49e-05; 6.01e-04; 5.24e-03; 2.06e-06; 1.17e-05; 1.73e-03; 1.39e-04; 0.00e+00
  0.80;track;n; 8.58519e+09;  0.800; -0.489;3.696;0.7532;0.2337; 2.07e-03; 2.48e-05; 6.00e-04; 5.23e-03; 2.06e-06; 1.16e-05; 1.73e-03; 1.38e-04; 0.00e+00
  0.80;track;n; 8.80954e+09;  0.800; -0.485;3.696;0.7540;0.2329; 2.06e-03; 2.47e-05; 5.98e-04; 5.21e-03; 2.05e-06; 1.16e-05; 1.72e-03; 1.38e-04; 0.00e+00
  0.80;track;n; 9.03389e+09;  0.800; -0.482;3.697;0.7548;0.2322; 2.06e-03; 2.47e-05; 5.97e-04; 5.20e-03; 2.05e-06; 1.16e-05; 1.72e-03; 1.38e-04; 0.00e+00
  0.80;track;n; 9.25825e+09;  0.800; -0.478;3.697;0.7556;0.2314; 2.05e-03; 2.46e-05; 5.95e-04; 5.19e-03; 2.04e-06; 1.15e-05; 1.72e-03; 1.37e-04; 0.00e+00
  0.80;track;n; 9.48260e+09;  0.800; -0.474;3.697;0.7564;0.2306; 2.05e-03; 2.45e-05; 5.94e-04; 5.18e-03; 2.04e-06; 1.15e-05; 1.71e-03; 1.37e-04; 0.00e+00
  0.80;track;n; 9.70695e+09;  0.800; -0.471;3.698;0.7572;0.2298; 2.04e-03; 2.45e-05; 5.92e-04; 5.17e-03; 2.03e-06; 1.15e-05; 1.71e-03; 1.37e-04; 0.00e+00
  0.80;track;n; 9.93130e+09;  0.800; -0.467;3.698;0.7580;0.2291; 2.04e-03; 2.44e-05; 5.91e-04; 5.15e-03; 2.03e-06; 1.14e-05; 1.70e-03; 1.36e-04; 0.00e+00
  0.80;track;n; 1.01557e+10;  0.800; -0.463;3.699;0.7588;0.2283; 2.03e-03; 2.43e-05; 5.89e-04; 5.14e-03; 2.02e-06; 1.14e-05; 1.70e-03; 1.36e-04; 0.00e+00
  0.80;track;n; 1.03800e+10;  0.800; -0.460;3.699;0.7596;0.2276; 2.02e-03; 2.43e-05; 5.88e-04; 5.13e-03; 2.02e-06; 1.14e-05; 1.70e-03; 1.36e-04; 0.00e+00
  0.80;track;n; 1.06044e+10;  0.800; -0.456;3.699;0.7603;0.2268; 2.02e-03; 2.42e-05; 5.87e-04; 5.12e-03; 2.01e-06; 1.13e-05; 1.69e-03; 1.35e-04; 0.00e+00
  0.80;track;n; 1.08287e+10;  0.800; -0.452;3.700;0.7611;0.2261; 2.01e-03; 2.41e-05; 5.85e-04; 5.11e-03; 2.01e-06; 1.13e-05; 1.69e-03; 1.35e-04; 0.00e+00
  0.80;track;n; 1.10531e+10;  0.800; -0.448;3.700;0.7619;0.2253; 2.01e-03; 2.41e-05; 5.84e-04; 5.09e-03; 2.00e-06; 1.13e-05; 1.69e-03; 1.35e-04; 0.00e+00

